ID,Kilometres,Denivele,Profil,Map,Lien
A1,92,3100,profil_A1.jpg,map_A1.jpg,https://www.dropbox.com/scl/fi/zfmv2omvm0tmdgktd83qi/GPX_A1.gpx?rlkey=3dip7a63j2rfmctuxijq3mshc&st=x8r6d3q9&dl=0
A2,57,1600,profil_A2.jpg,map_A2.jpg,https://www.dropbox.com/scl/fi/job0e9a04kvzliz4sy97v/GPX_A2.gpx?rlkey=60ps6hi4ry0lszs2zgmeo2448&st=1w82tt9c&dl=0
A3,40,940,profil_A3.jpg,map_A3.jpg,https://www.dropbox.com/scl/fi/5n09x6rv9xxblco5pm9u5/GPX_A3.gpx?rlkey=323ra1z7mvg65y4huxog9zn0t&st=lufxujpm&dl=0
A4,71,2100,profil_A4.jpg,map_A4.jpg,https://www.dropbox.com/scl/fi/cu4af802jryfitmxhodau/GPX_A4.gpx?rlkey=ik4gz5ylydtldgam5jkphdirw&st=ttamydkp&dl=0
A5,29,680,profil_A5.jpg,map_A5.jpg,https://www.dropbox.com/scl/fi/2gnugv5ghhmoof2pjguxu/GPX_A5.gpx?rlkey=wshy5fcuriicozazk43xgjqtv&st=1vt3tw8w&dl=0
A6,45,1080,profil_A6.jpg,map_A6.jpg,https://www.dropbox.com/scl/fi/2hixz47vpasnw55iz0jj0/GPX_A6.gpx?rlkey=lf9ymfhxz3032quo9cb27s8ou&st=cr3d8ef9&dl=0
A7,129,2960,profil_A7.jpg,map_A7.jpg,https://www.dropbox.com/scl/fi/t7hddmp5eferpfaobhho4/GPX_A7.gpx?rlkey=4v0jmbspv7cldkzry1wr4u3il&st=f5r3cb49&dl=0
A8,29,450,profil_A8.jpg,map_A8.jpg,https://www.dropbox.com/scl/fi/i263arguijvjp9c4gtj4p/GPX_A8.gpx?rlkey=39gshle266s5x457enhdxf54u&st=koaz6d5m&dl=0
